A_hidden,B_dropout,C_dropout,D_hidden
256,0.0,0.0,32
256,0.0,0.0,64
256,0.0,0.0,128
256,0.0,3.0,32
256,0.0,3.0,64
256,0.0,3.0,128
256,0.0,0.5,32
256,0.0,0.5,64
256,0.0,0.5,128
256,3.0,0.0,32
256,3.0,0.0,64
256,3.0,0.0,128
256,3.0,3.0,32
256,3.0,3.0,64
256,3.0,3.0,128
256,3.0,0.5,32
256,3.0,0.5,64
256,3.0,0.5,128
256,0.5,0.0,32
256,0.5,0.0,64
256,0.5,0.0,128
256,0.5,3.0,32
256,0.5,3.0,64
256,0.5,3.0,128
256,0.5,0.5,32
256,0.5,0.5,64
256,0.5,0.5,128
512,0.0,0.0,32
512,0.0,0.0,64
512,0.0,0.0,128
512,0.0,0.0,256
512,0.0,3.0,32
512,0.0,3.0,64
512,0.0,3.0,128
512,0.0,3.0,256
512,0.0,0.5,32
512,0.0,0.5,64
512,0.0,0.5,128
512,0.0,0.5,256
512,3.0,0.0,32
512,3.0,0.0,64
512,3.0,0.0,128
512,3.0,0.0,256
512,3.0,3.0,32
512,3.0,3.0,64
512,3.0,3.0,128
512,3.0,3.0,256
512,3.0,0.5,32
512,3.0,0.5,64
512,3.0,0.5,128
512,3.0,0.5,256
512,0.5,0.0,32
512,0.5,0.0,64
512,0.5,0.0,128
512,0.5,0.0,256
512,0.5,3.0,32
512,0.5,3.0,64
512,0.5,3.0,128
512,0.5,3.0,256
512,0.5,0.5,32
512,0.5,0.5,64
512,0.5,0.5,128
512,0.5,0.5,256
1024,0.0,0.0,32
1024,0.0,0.0,64
1024,0.0,0.0,128
1024,0.0,0.0,256
1024,0.0,0.0,512
1024,0.0,3.0,32
1024,0.0,3.0,64
1024,0.0,3.0,128
1024,0.0,3.0,256
1024,0.0,3.0,512
1024,0.0,0.5,32
1024,0.0,0.5,64
1024,0.0,0.5,128
1024,0.0,0.5,256
1024,0.0,0.5,512
1024,3.0,0.0,32
1024,3.0,0.0,64
1024,3.0,0.0,128
1024,3.0,0.0,256
1024,3.0,0.0,512
1024,3.0,3.0,32
1024,3.0,3.0,64
1024,3.0,3.0,128
1024,3.0,3.0,256
1024,3.0,3.0,512
1024,3.0,0.5,32
1024,3.0,0.5,64
1024,3.0,0.5,128
1024,3.0,0.5,256
1024,3.0,0.5,512
1024,0.5,0.0,32
1024,0.5,0.0,64
1024,0.5,0.0,128
1024,0.5,0.0,256
1024,0.5,0.0,512
1024,0.5,3.0,32
1024,0.5,3.0,64
1024,0.5,3.0,128
1024,0.5,3.0,256
1024,0.5,3.0,512
1024,0.5,0.5,32
1024,0.5,0.5,64
1024,0.5,0.5,128
1024,0.5,0.5,256
1024,0.5,0.5,512
